Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,10795850106.9547,10492628915.4927,11152971316.074,11045759468.9412,8313557450.25213,11000146839.497,18071153890.3932,18047557171.7483,19619653924.2697,18870992455.7304,16577533355.4395,16810536883.7177,18054384023.1093,21251755293.9537,23510577108.2304,24036917016.59,25281414472.9891,28760092034.4723,34078243426.009,33886814907.0346,34936305296.9689,36693712824.8232,36302305578.2487,42760237561.4396,48843008580.3288,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,12314482085.0878,11840192674.1246,12071775380.6503,16181813512.4483,8902446188.0456,10864773036.8363,11093539497.029,10789457915.0457,11298144511.6364,11565827385.6884,10566578952.7857,10953485244.4239,12417251815.8801,15970315751.0277,18826215278.057,19509850837.2745,20910513974.6215,23928251333.7444,27715144580.2691,27932971683.4215,27507499709.071,30630912184.7789,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,9349764580.41173,9633911368.01541,8227200892.44213,10706246370.9325,5820382232.03468,5643439373.42693,5771454939.62404,6090840548.18784,6217806273.17637,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47568210068.4862,51775830725.8263
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2798746050.58236,2724853507.64996,2933222705.7974,2684323618.40365,1769365438.88526,2116003868.17373,2540697537.70424,2322719101.28455,1949481380.64925,2354772959.06186,3227927697.43665,2796704603.04443,3034250926.18009,3503723086.7028,4656974937.55227,6650001684.9045,8072305030.68484,8782703427.96085,11649857662.1388,9723299908.19473,13148396205.671,15655383585.9887,17692911280.5627,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,47844090709.9908,49175565911.0655,58418985443.3172,66446804802.5747,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.061,161618581266.316,206181826825.28,242186950900.775,232397835678.336,286563105192.456,334943871931.745,370921320483.841,382116126448.554,381112119657.445,293481748240.778,282825009887.458,311883730690.129,334198214706.209,323109543324.321
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,429622147.743446,424108796.562976,457388578.924144,452881443.084162,319189200.353123,398461789.558686,396053797.633321,364445589.702365,370106776.043329,382454989.945311,351136568.441921,378512003.405071,425964697.418664,546885184.990174,633706149.25026,653845122.872074,698431827.740958,795673128.485442,915659192.825112,905341090.570115,907978723.547592,1023086183.79822,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1195019559.09381
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,306891107.262039,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505,1769787215.42141,1966501117.61028,1981845740.70615
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,5711687786.75989,7196276092.461,8564044017.26908,9582866263.11706,10486784804.7995,11578594259.8675,11678424507.2457,12614602382.2012,13684255946.5765,14254866281.1537,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.3032,26884700345.0342,30801744881.0001,30745712006.5307,37658614803.2775,42762617081.6522,47231651862.8399,50949672205.9168,52016408950.8936,56441917652.9812,58847016044.7363,60516043590.1832,62420165099.7231,64417670082.6127
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,18011678551.9381,17878504938.8707,17575413724.3223,19033356757.926,20014967686.7882,22072783645.7067,24081792638.7438,28202808369.1372,30129171334.4624,31944649112.5,34249904536.5491,35284396505.6497,37023706334.8597,39580356455.4664,43293805573.5935,48957056297.0275,55704431126.3899,61916043830.0806,70404981344.0782,59480682376.416,64592893103.947,69730495217.7599,72141071446.1207,73521446002.3955,74620404150.2578,73535009881.6185,69478366694.906,72533236071.4207,75431169087.5747,77023818120.749
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,28645436569.1489,24316556025.6585,22085858243.2432,22367254864.8649,28448326756.7568,30429803651.2192,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925925.9259,54262870370.3704,56302129629.6296,57481481481.4815,59562962962.963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388817.27231,2995185487.30261
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,4200439498.52838,4466438823.03247,4586114070.09916,4281868765.92454,4156990816.04561,4186223864.8445,4291158967.90881,4405954696.16336,4563017851.62436,4708336756.08849,4909498942.67103,5166467286.75345,5530377593.29756,5943589095.55075
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438
